Tile,Ingrediants,steps,time
Mongolian Beef from the Slow Cooker,"1/4 cup cornstarch ;
 1 1/2 pounds beef flank steak ;
 3/4 cup water ;
 3/4 cup soy sauce ;
 3/4 cup brown sugar ;
 1/2 cup shredded carrots ;
 3 green onions, chopped ;
 2 tablespoons olive oil ;
 2 cloves garlic, minced ;
 1/2 teaspoon minced fresh ginger root ;
 Add all ingredients to list ;
 ","Spread cornstarch into a wide, shallow bowl. Dredge flank steak in the cornstarch to coat completely; put into a large resealable plastic bag.n;
 Stir water, soy sauce, brown sugar, carrots, green onions, olive oil, garlic, and ginger together in a bowl; pour into the bag with the beef and seal.n;
 Put bag of marinating beef in the freezer until the day before you wish to prepare it.n;
 Remove bag from freezer and put bag into a bowl and place in refrigerator to thaw, at least 24 hours before you wish to prepare the beef.n;
 Empty bag into the crock of a slow cooker.n;
 Cook on High until the beef is tender, 2 to 3 hours. Alternately, you can cook this on Low for 4 to 5 hours.n;
 ",5
Fast-and-Fabulous Egg and Cottage Cheese Casserole,"cooking spray ;
 10 eggs, beaten ;
 2 (16 ounce) packages cottage cheese ;
 1 pound shredded Monterey Jack cheese ;
 1 (4 ounce) can diced green chiles ;
 1/2 cup butter, melted (optional) ;
 1/2 cup all-purpose flour ;
 1/2 cup cooked crumbled bacon (optional) ;
 1 teaspoon baking powder ;
 Add all ingredients to list ;
 ","Preheat oven to 400 degrees F (200 degrees C). Prepare a 10x13-inch baking dish with cooking spray.n;
 Mix eggs, cottage cheese, Monterey Jack cheese, green chiles, butter, flour, bacon, and baking powder together in a large bowl; pour into prepared baking dish.n;
 Bake in the preheated oven for 15 minutes. Reduce heat to 350 degrees F (175 degrees C) and continue baking until a toothpick inserted into the center of the casserole comes out clean, about 30 minutes more.n;
 ",15
Grilled Steelhead Trout,"1 lemon, sliced into thin rounds with the ends reserved ;
 3 tablespoons olive oil ;
 1 1/2 teaspoons minced garlic ;
 1 1/2 teaspoons minced onion ;
 salt and ground black pepper to taste ;
 1 filet steelhead trout ;
 Add all ingredients to list ;
 ","Lightly oil the grate of your grill. Arrange lemon slices on the grate so they overlap slightly and form a shape slightly larger than your trout fillet.n;
 Preheat grill for medium heat to 350 degrees F (175 degrees C).n;
 Heat olive oil in a small skillet over medium-high heat.n;
 Saute garlic and onion in the hot oil until the garlic browns slightly, 2 to 3 minutes; season with salt and pepper. Squeeze the reserved lemon ends over the garlic mixture.n;
 Gently lay the trout fillet onto the lemons with the skin side down. Brush the garlic mixture over the top of the fish.n;
 Cook trout on hot grill until the fish flesh flakes easily with a fork, about 10 minutes.n;
 ",10
Asparagus Omelette,"6 strips bacon ;
 10 stalks asparagus, trimmed ;
 1 teaspoon vegetable oil, or as needed ;
 1/3 red onion, diced ;
 1/2 tomato, diced ;
 3 button mushrooms, sliced ;
 5 eggs ;
 3 tablespoons heavy whipping cream ;
 1 pinch freshly ground nutmeg ;
 salt and ground black pepper to taste ;
 1/2 cup grated mozzarella cheese ;
 Add all ingredients to list ;
 ","Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels. Crumble bacon pieces.n;
 Bring a large pot of lightly salted water to a boil. Add asparagus and cook until tender yet firm to the bite, 2 to 3 minutes. Drain.n;
 Heat vegetable oil in a skillet over medium-high heat; saute onion, tomato, and mushrooms until tender, about 5 minutes.n;
 Whisk eggs and cream together in a bowl; add bacon, sauteed vegetables, asparagus, nutmeg, salt, and pepper.n;
 Pour egg mixture into an oven-proof nonstick skillet and cover skillet. Cook over medium-low until cooked through, 10 to 12 minutes. Sprinkle mozzarella cheese over omelette.n;
 Set oven rack about 6 inches from the heat source and preheat the oven's broiler.n;
 Broil omelette in the preheated oven until a golden crust starts to form on the top, about 2 minutes.n;
 ",15
Orange Pancakes,"2 cups white whole wheat flour ;
 2 tablespoons baking powder ;
 2 tablespoons ground flax meal ;
 17 fluid ounces orange juice ;
 1 teaspoon orange extract ;
 Add all ingredients to list ;
 ","Whisk flour, baking powder, and flax meal together in a bowl; stir orange juice and orange extract into flour mixture until batter is well-combined.n;
 Heat a lightly oiled griddle over medium-high heat, or an electric griddle to 375 degrees F (190 degrees C). Drop batter by large spoonfuls onto the griddle and cook until bubbles form and the edges are dry, 3 to 4 minutes. Flip and cook until browned on the other side, 2 to 3 minutes. Repeat with remaining batter.n;
 ",10
Oatmeal Energy Bars,"1 1/3 cups rolled oats ;
 1/2 cup all-purpose flour ;
 1/2 cup vegan semi-sweet chocolate chips ;
 1/2 cup ground unsalted cashews ;
 2 tablespoons shelled unsalted sunflower seeds ;
 1 tablespoon ground flax meal ;
 1 tablespoon wheat germ ;
 1/2 teaspoon ground cinnamon ;
 1/4 teaspoon sea salt ;
 1/2 cup honey, warmed ;
 1/3 cup almond butter ;
 1/2 teaspoon vanilla extract ;
 Add all ingredients to list ;
 ","Preheat oven to 350 degrees F (175 degrees C). Line a 9x11-inch baking dish with aluminum foil.n;
 Whisk oats, flour, chocolate chips, ground cashews, sunflower seeds, flax meal, wheat germ, cinnamon, and sea salt together in a large shallow bowl.n;
 Stir warmed honey, almond butter, and vanilla extract together in a bowl until well-mixed. Pour honey mixture into oat mixture; stir until batter is well-combined. Turn batter out into prepared baking dish. Lay a sheet of waxed paper over batter and press firmly to evenly distribute in the baking dish. Remove and discard waxed paper.n;
 Bake in the preheated oven until golden and fragrant, about 12 minutes. Pull aluminum foil from baking dish and cool bars in the aluminum foil for 10 minutes; remove and discard aluminum foil. Cut into bars.n;
 ",15
Vegan Lemon-Orange Pecan-Almond Hemp-Chia Ginger-Cardamom Scones,"1 orange, zested and juiced ;
 1 lemon, zested and juiced ;
 1/4 cup coconut milk ;
 2 tablespoons chia seeds ;
 1 teaspoon vanilla extract ;
 2 cups all-purpose flour ;
 1/2 cup white sugar ;
 1 teaspoon baking soda ;
 1 teaspoon ground ginger ;
 1 teaspoon ground cardamom ;
 3/4 teaspoon salt ;
 1/2 cup cold coconut oil, divided into 8 equal-size pieces ;
 1/4 cup finely chopped pecans ;
 1/4 cup finely chopped almonds ;
 1/4 cup hemp seed hearts ;
 Add all ingredients to list ;
 ","Preheat convection oven to 300 degrees F (150 degrees C). Line baking sheets with parchment paper.n;
 Stir orange juice and lemon juice together in a small bowl; add enough water, if necessary, to equal 7 tablespoons liquid.n;
 Stir juice mixture, coconut milk, orange zest, lemon zest, chia seeds, and vanilla extract together in a bowl; set aside until chia seeds gel, about 10 minutes.n;
 Combine flour, sugar, baking soda, ginger, cardamom, and salt in the bowl of a food processor; pulse until just-combined. Add cold coconut oil pieces and process until mixture resembles wet sand. Pour chia mixture into flour mixture; pulse until dough begins to come together.n;
 Transfer dough to a bowl and add pecans, almonds, and hemp; knead with your hands until nuts and seeds are evenly distributed. Divide dough into 2 pieces, and flatten each piece into a 1-inch thick disc. Cut each disc into 8 wedges, and places wedges on prepared baking sheets.n;
 Bake in the preheated oven until tops spring back when pressed, 30 to 35 minutes.n;
 ",20
Steel Cut Oats with Blueberries and Lemon Zest,"1 1/2 cups vanilla-flavored cultured coconut milk ;
 1 cup steel-cut oats ;
 1 tablespoon chia seeds (optional) ;
 1 teaspoon lemon zest ;
 1 teaspoon vanilla extract ;
 1 ounce fresh blueberries ;
 Add all ingredients to list ;
 ","Stir coconut milk, oats, chia seeds, lemon zest, and vanilla extract together in a bowl. Cover the bowl with plastic wrap and refrigerate, 8 hours to overnight.n;
 Heat oats mixture in the microwave until warmed-through, about 1 minute. Top with blueberries.n;
 ",10
Vegan Orange Chocolate Oatmeal Muffins,"2 cups all-purpose flour ;
 1 cup white sugar ;
 1 cup uncooked quick oats ;
 2 teaspoons baking powder ;
 1/4 teaspoon salt ;
 2 (8.25 ounce) cans mandarin orange segments, drained, liquid reserved ;
 1/4 cup vegetable oil ;
 1/4 cup milk chocolate chips ;
 Add all ingredients to list ;
 ","Preheat oven to 375 degrees F (190 degrees C). Grease 12 muffin cups or line with paper muffin liners.n;
 Whisk flour, sugar, oats, baking powder, and salt together in a bowl.n;
 Measure out 1 cup of reserved mandarin orange liquid; add liquid and vegetable oil to flour mixture and stir until batter is well-combined. Fold oranges and chocolate chips into batter. Spoon batter into prepared muffin cups.n;
 Bake in the preheated oven until golden brown, about 25 minutes.n;
 ",15
Homemade Dumplings,"2 cups all-purpose flour ;
 2 teaspoons baking powder ;
 1 teaspoon salt ;
 1 cup milk ;
 Add all ingredients to list ;
 ","Whisk flour, baking powder, and salt together in a bowl. Slowly pour milk into flour mixture, stirring constantly until dough is stiff and holds together.n;
 ",10
